ObjectID,GlobalID,Select:,SubTransect,Target Species,CoordX,CoordY,Accuracy,Fix,UTMX,UTMY,Datum,Bearing,Notes,Left Distribution,Left Density,Trail Distribution,Trail Density,Right Distribution,Right Density,ParentGlobalID,CreationDate,Creator,EditDate,Editor,x,y
1,a2e0cb54-5b2c-4243-ad67-136c00e84d1d,1,1,ARUDON,-118.851208593809,34.1936958851636,,,329422,3785181,WGS84,,,N,,N,,P,10-100,035242a4-4982-4e55-8e74-5607fe5873f4,2/23/2022 10:03:02 PM,dakamradt@nps.gov_nps,2/23/2022 10:03:02 PM,dakamradt@nps.gov_nps,-118.851208593809,34.1936958851636
2,bd636674-5095-4dea-be42-326ce54a4678,0,,AILALT,-118.848962327575,34.1880837629694,,,329618,3784555,WGS84,Sw,Test,,,,,,,035242a4-4982-4e55-8e74-5607fe5873f4,2/23/2022 10:03:02 PM,dakamradt@nps.gov_nps,2/23/2022 10:03:02 PM,dakamradt@nps.gov_nps,-118.848962327575,34.1880837629694
3,115aee5b-c90a-4d30-8909-bb19f8dc6af6,2,2,CYPINV,-118.842246076205,34.1932665254184,,,330247,3785119,WGS84,,,P,>100,N,,N,,035242a4-4982-4e55-8e74-5607fe5873f4,2/23/2022 10:03:02 PM,dakamradt@nps.gov_nps,2/23/2022 10:03:02 PM,dakamradt@nps.gov_nps,-118.842246076205,34.1932665254184
4,bc4bfb9b-6cd4-4e94-b46a-cb7dac74530a,3,3,RHAREP (=ACRREP),-118.846738692484,34.191652368786,10,,329830,3784947,WGS84,,,SC,<10,P,10-100,N,,035242a4-4982-4e55-8e74-5607fe5873f4,2/23/2022 10:03:02 PM,dakamradt@nps.gov_nps,2/23/2022 10:03:02 PM,dakamradt@nps.gov_nps,-118.846738692484,34.191652368786
5,2c323632-e31f-45a5-986a-6ce8f9ea47f9,4,4,SALAUS,-118.84672427561,34.1916754609292,10,,329832,3784950,WGS84,,,P,<10,N,,N,,035242a4-4982-4e55-8e74-5607fe5873f4,2/23/2022 10:03:02 PM,dakamradt@nps.gov_nps,2/23/2022 10:03:02 PM,dakamradt@nps.gov_nps,-118.84672427561,34.1916754609292
6,e1ab68cb-c317-4ce0-8388-e55142ddfc4a,5,5,EUPTER,-118.853683737617,34.1993391377485,,,329206,3785811,WGS84,,,I,<10,N,,N,,035242a4-4982-4e55-8e74-5607fe5873f4,2/23/2022 10:03:02 PM,dakamradt@nps.gov_nps,2/23/2022 10:03:02 PM,dakamradt@nps.gov_nps,-118.853683737617,34.1993391377485
7,dd1edaeb-d12e-409b-bfad-4f1c8d888fc7,6,6,CYPINV,-118.850851860006,34.1958048569172,,,329460,3785415,WGS84,,,N,,SC,<10,N,,035242a4-4982-4e55-8e74-5607fe5873f4,2/23/2022 10:03:02 PM,dakamradt@nps.gov_nps,2/23/2022 10:03:02 PM,dakamradt@nps.gov_nps,-118.850851860006,34.1958048569172
9,1cb0d6ab-7536-4b32-8dd2-83637c64bc9a,8,8,ARUDON,-118.848454566782,34.193264597027,,,329675,3785129,WGS84,,,I,<10,N,,N,,035242a4-4982-4e55-8e74-5607fe5873f4,2/23/2022 10:03:02 PM,dakamradt@nps.gov_nps,2/23/2022 10:03:02 PM,dakamradt@nps.gov_nps,-118.848454566782,34.193264597027
10,dbfb70b9-6fa3-49d6-b8b5-ecd08938be4a,8,8,CYPINV,-118.84397325117,34.1945069927768,,,330091,3785259,WGS84,,,SC,10-100,N,,N,,035242a4-4982-4e55-8e74-5607fe5873f4,2/23/2022 10:03:02 PM,dakamradt@nps.gov_nps,2/23/2022 10:03:02 PM,dakamradt@nps.gov_nps,-118.84397325117,34.1945069927768
11,5c028759-4a09-420d-b0ce-26698c87b217,9,9,CYPINV,-118.851093174998,34.1882413511069,,,329422,3784576,WGS84,,,N,,P,10-100,N,,035242a4-4982-4e55-8e74-5607fe5873f4,2/23/2022 10:03:02 PM,dakamradt@nps.gov_nps,2/23/2022 10:03:02 PM,dakamradt@nps.gov_nps,-118.851093174998,34.1882413511069
13,8b812e1e-8022-435f-b3a9-a633ffea3eaf,5,5,CENSOL,-118.846714971698,34.1917055938711,10,,329832,3784953,WGS84,,,I,10-100,N,,N,,035242a4-4982-4e55-8e74-5607fe5873f4,2/23/2022 10:09:29 PM,dakamradt@nps.gov_nps,2/23/2022 10:09:29 PM,dakamradt@nps.gov_nps,-118.846714971698,34.1917055938711
14,44e893dc-0cea-4db1-8f2b-04c687bef4c2,4,4,VINMAJ,-118.851950643696,34.1940129283589,,,329355,3785218,WGS84,,,N,,SC,10-100,N,,035242a4-4982-4e55-8e74-5607fe5873f4,2/23/2022 10:12:05 PM,dakamradt@nps.gov_nps,2/23/2022 10:12:05 PM,dakamradt@nps.gov_nps,-118.851950643696,34.1940129283589
15,6f53656e-2420-4c14-a3bf-be4007b16264,0,,ARUDON,-118.849364987603,34.1935422054359,,,329592,3785161,WGS84,,,,,,,,,ca6c7b06-fb5e-45b3-b8ec-6e8cb8fe978a,2/24/2022 11:05:44 PM,dakamradt@nps.gov_nps,2/24/2022 11:05:44 PM,dakamradt@nps.gov_nps,-118.849364987603,34.1935422054359
17,a2f9a5c3-9fdf-42be-9e47-ecf22a399610,2,2,CARLAN,-118.844678253047,34.1942850435938,,,330025,3785236,WGS84,,,N,,N,,SC,>100,ca6c7b06-fb5e-45b3-b8ec-6e8cb8fe978a,2/24/2022 11:05:44 PM,dakamradt@nps.gov_nps,2/24/2022 11:05:44 PM,dakamradt@nps.gov_nps,-118.844678253047,34.1942850435938
18,d9df9956-27c9-46d2-af80-73ca0e488f6a,3,3,FOEVUL,-118.846695274225,34.1916937334781,15.3765007802608,,329834,3784952,WGS84,,,N,,N,,I,<10,ca6c7b06-fb5e-45b3-b8ec-6e8cb8fe978a,2/24/2022 11:05:44 PM,dakamradt@nps.gov_nps,2/24/2022 11:05:44 PM,dakamradt@nps.gov_nps,-118.846695274225,34.1916937334781
19,c2920dfa-b73a-49ce-b414-5d28e871039d,0,,ARUDON,,,,,,,WGS84,,,,,,,,,339fb791-0f27-4c8b-81c4-5eb8091178e9,5/22/2022 11:53:50 PM,dakamradt@nps.gov_nps,5/22/2022 11:53:50 PM,dakamradt@nps.gov_nps,0,0
